Sr. No,Product Name,Price(Rs),Link,Website
37,"LG Gram 10th Gen Intel Core i7-1065G7 17-inch IPS WQXGA (2560X1600) Thin and Light Laptop (8GB/512GB SSD/Windows 10 64-bit/Dark Silver/1.35kg), 17Z90N","1,05,990",https://www.amazon.in/result.find/LG-i7-1065G7-17-inch-2560X1600-Windows/dp/B08J3D2YHV/ref=sr_1_17?dchild=1&keywords=macbook+pro&qid=1626531344&sr=8-17,Amazon.in
38,"LG Gram 10th Gen Intel Core i7-1065G7 17-inch IPS WQXGA (2560X1600) Thin and Light Laptop (8GB/512GB SSD/Windows 10 64-bit/Dark Silver/1.35kg), 17Z90N","1,05,990",https://www.amazon.in/result.find/LG-i7-1065G7-17-inch-2560X1600-Windows/dp/B08J3D2YHV/ref=sr_1_17?dchild=1&keywords=macbook+pro&qid=1626531364&sr=8-17,Amazon.in
39,"Microsoft Surface Pro X 1876 13"" (33.02 cms) Laptop (Microsoft SQ1/8GB/128GB SSD/Windows 10 Home/Microsoft SQ1 Adreno 685 GPU Graphics), Matte Black","1,01,990",https://www.amazon.in/result.find/Microsoft-Surface-1876-13-inch-Graphics/dp/B086ZCH5HT/ref=sr_1_31?dchild=1&keywords=macbook+pro&qid=1626531350&sr=8-31,Amazon.in
40,"Microsoft Surface Pro X 1876 13"" (33.02 cms) Laptop (Microsoft SQ1/8GB/128GB SSD/Windows 10 Home/Microsoft SQ1 Adreno 685 GPU Graphics), Matte Black","1,01,990",https://www.amazon.in/result.find/Microsoft-Surface-1876-13-inch-Graphics/dp/B086ZCH5HT/ref=sr_1_31?dchild=1&keywords=macbook+pro&qid=1626531366&sr=8-31,Amazon.in
41,"2020 Apple MacBook Pro (13.3-inch/33.78 cm, 8GB RAM, 256GB SSD, 1.4GHz Quad-core 8th-Generation Intel Core i5 Processor, Two Thunderbolt 3 Ports) - Space Grey","99,990",https://www.amazon.in/result.find/Apple-MacBook-Pro-8th-Generation-Intel-Core-i5/dp/B0883JQQJQ/ref=sr_1_4?dchild=1&keywords=macbook+pro&qid=1626531344&sr=8-4,Amazon.in
42,"2020 Apple MacBook Pro (13.3-inch/33.78 cm, 8GB RAM, 256GB SSD, 1.4GHz Quad-core 8th-Generation Intel Core i5 Processor, Two Thunderbolt 3 Ports) - Space Grey","99,990",https://www.amazon.in/result.find/Apple-MacBook-Pro-8th-Generation-Intel-Core-i5/dp/B0883JQQJQ/ref=sr_1_4?dchild=1&keywords=macbook+pro&qid=1626531364&sr=8-4,Amazon.in
43,APPLE MacBook Pro with Touch Bar Core i5 8th Gen - (8 GB/256 GB SSD/Mac OS Catalina) MXK32HN/A,"99,990",https://www.flipkart.com//apple-macbook-pro-touch-bar-core-i5-8th-gen-8-gb-256-gb-ssd-mac-os-catalina-mxk32hn-a/p/itm6c8770fa3101e?pid=COMFRZ3N6CHF4GGF&lid=LSTCOMFRZ3N6CHF4GGFULMOPF&marketplace=FLIPKART&q=macbook+pro&store=6bo%2Fb5g&srno=s_1_11&otracker=search&otracker1=search&fm=organic&iid=25857631-2381-48be-b666-9e69f87a5af7.COMFRZ3N6CHF4GGF.SEARCH&ppt=None&ppn=None&ssid=gotbv4nbgg0000001626531372073&qH=9cf36a97583bd48f,Flipkart
44,"Microsoft Surface Laptop 3 AMD Ryzen 5 15-inch (38.1 cms) Touchscreen Laptop (8GB/128GB SSD/Windows 10 Home/AMD Radeon Vega 9 Graphics/Platinum/1.54Kg), V4G-00021","97,000",https://www.amazon.in/result.find/Microsoft-Touchscreen-Graphics-Platinum-V4G-00021/dp/B08692HGGZ/ref=sr_1_10?dchild=1&keywords=macbook+pro&qid=1626531344&sr=8-10,Amazon.in
45,"Microsoft Surface Laptop 3 AMD Ryzen 5 15-inch (38.1 cms) Touchscreen Laptop (8GB/128GB SSD/Windows 10 Home/AMD Radeon Vega 9 Graphics/Platinum/1.54Kg), V4G-00021","97,000",https://www.amazon.in/result.find/Microsoft-Touchscreen-Graphics-Platinum-V4G-00021/dp/B08692HGGZ/ref=sr_1_10?dchild=1&keywords=macbook+pro&qid=1626531364&sr=8-10,Amazon.in
46,"Acer Swift 5 14"" (35.56cms) Full HD IPS Display with Touchscreen Ultra Thin and Light Notebook (Intel i7 - 11th Gen/16GB RAM/1TB SSD/Win10/Intel Iris Xe Graphics/1.05 Kg/Mist Green), SF514-55TA","94,999",https://www.amazon.in/result.find/Acer-Swift-Display-Touchscreen-Notebook/dp/B08M41DHTV/ref=sr_1_12?dchild=1&keywords=macbook+pro&qid=1626531344&sr=8-12,Amazon.in
